month,group,commodity,unit,quantity_2025,rupees_2025,dollar_2025,quantity_2024,rupees_2024,dollar_2024,tradetype,unknow
2025-06,Food Group,MILKCREAM MILK FOOD FOR INFANTS,  MT,4179.979969999999,3417.048445,12074.0,3063.711,3227.854482,11592.691,Import,
2025-06,Food Group,WHEAT UNMILLED,  MT,0.0,0.0,0.0,0.0,0.0,0.0,Import,
2025-06,Food Group,DRY FRUITS NUTS,  MT,5777.040660000001,1695.825699,5992.0,4221.926,1032.060483,3706.598,Import,
2025-06,Food Group,TEA,  MT,19804.34842,14083.965395,49767.0,19778.058,14723.612763,52879.17,Import,
2025-06,Food Group,SPICES,  MT,14951.464665,4599.111179,16251.0,17250.507,5423.524805,19478.342,Import,
2025-06,Food Group,SOYABEAN OIL,  MT,20305.56,6296.557457,22249.0,7750.0,2089.998129,7506.133,Import,
2025-06,Food Group,PALM OIL,  MT,175754.35898,55473.598716,196020.0,257530.458,68781.424401,247025.374,Import,
2025-06,Food Group,SUGAR,  MT,166.642,60.624367,214.0,142.0,41.594571,149.384,Import,
2025-06,Food Group,PULSES LEGUMINOUS VEGETABLES,  MT,63997.1318,13101.145042,46294.0,51060.586,10913.586065,39195.643,Import,
2025-06,Food Group,ALL OTHERS FOOD ITEMS,   - ,0.0,51060.99819,180427.0,0.0,42391.803482,152248.263,Import,
2025-06,Machinery Group,POWER GENERATING MACHINERY,   - ,0.0,11694.644922,41324.0,0.0,15263.435518,54817.948,Import,
2025-06,Machinery Group,OFFICE MACHINE INCLDATA PROC EQUIP,   - ,0.0,10765.036291,38039.0,0.0,11856.345201,42581.538,Import,
2025-06,Machinery Group,TEXTILE MACHINERY,   - ,0.0,7851.217189,27743.0,0.0,4687.288754,16834.18,Import,
2025-06,Machinery Group,CONSTRUCTION MINING MACHINERY,   - ,0.0,3147.675883,11123.0,0.0,2174.087287,7808.137,Import,
2025-06,Machinery Group,ELECTRICAL MACHINERY APPARATUS,   - ,0.0,128763.731969,454995.0,0.0,87699.884508,314970.106,Import,
2025-06,Machinery Group,TELE COM,   - ,0.0,58606.618323,207090.0,0.0,89126.50905499999,320093.76900000003,Import,
2025-06,Machinery Group,A MOBILE PHONE,   - ,0.0,39457.42246,139425.0,0.0,77565.886416,278574.358,Import,
2025-06,Machinery Group,B OTHER APPARATUS,   - ,0.0,19149.195863,67665.0,0.0,11560.622639,41519.411,Import,
2025-06,Machinery Group,AGRICULTURAL MACHINERY IMPLEMENTS,   - ,0.0,3021.055551,10675.0,0.0,2648.798271,9513.085,Import,
2025-06,Machinery Group,OTHER MACHINERY,   - ,0.0,58686.702346,207373.0,0.0,35147.710287,126231.453,Import,
2025-06,Transport Group,ROAD MOTOR VEH BUILD UNITCKDSKD,   - ,0.0,79615.170458,281324.0,0.0,59456.644991,213535.622,Import,
2025-06,Transport Group,CBU,   - ,0.0,9504.068351999998,33583.0,0.0,13842.388964,49714.165,Import,
2025-06,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,0.0,3673.693247,12981.0,0.0,4353.876073,15636.78,Import,
2025-06,Transport Group,BMOTOR CARS,   - ,0.0,5756.995347,20343.0,0.0,9394.30528,33739.049,Import,
2025-06,Transport Group,CMOTOR CYCLES,   - ,0.0,73.379758,259.0,0.0,94.207611,338.336,Import,
2025-06,Transport Group,CKDSKD,   - ,0.0,62116.174911,219491.0,0.0,39022.494095,140147.485,Import,
2025-06,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,0.0,17261.167693,60993.0,0.0,9441.583119,33909.011,Import,
2025-06,Transport Group,BMOTOR CARS,   - ,0.0,43424.345847,153443.0,0.0,28897.898934,103785.468,Import,
2025-06,Transport Group,CMOTOR CYCLES,   - ,0.0,1430.661371,5055.0,0.0,683.012042,2453.006,Import,
2025-06,Transport Group,PARTS ACCESSORIES,   - ,0.0,7496.469086,26489.0,0.0,5646.238081,20278.158,Import,
2025-06,Transport Group,OTHERS,   - ,0.0,498.458109,1761.0,0.0,945.523851,3395.814,Import,
2025-06,Transport Group,AIRCRAFTS SHIPS AND BOATS,   - ,0.0,7203.536542,25454.0,0.0,1970.182559,7075.821,Import,
2025-06,Transport Group,OTHERS TRANSPORT EQUIPMENTS,   - ,0.0,1182.890791,4180.0,0.0,11202.313715,40232.602,Import,
2025-06,Petroleum Group,PETROLEUM PRODUCTS,  MT,1053325.1881602,144188.950248,509501.0,1122279.0,190589.923269,684495.021,Import,
2025-06,Petroleum Group,PETROLEUM CRUDE,  MT,789077.3199142857,131568.421593,464906.0,785538.0,128994.520727,463277.951,Import,
2025-06,Petroleum Group,NATURAL GAS LIQUIFIED,   - ,0.0,74967.271725,264902.0,0.0,102615.45642,368538.742,Import,
2025-06,Petroleum Group,PETROLEUM GAS LIQUIFIED,   - ,0.0,20427.97701,72184.0,0.0,15309.086583,54981.895,Import,
2025-06,Petroleum Group,OTHERS,   - ,0.0,4.644466,16.0,0.0,1.579493,5.673,Import,
2025-06,Textile Group,RAW COTTON,  MT,46509.96183759999,23021.575081,81348.0,36984.0,21834.473876,78417.509,Import,
2025-06,Textile Group,SYNTHETIC FIBRE,  MT,35138.49891800001,13553.248691,47891.0,33738.124,14973.940203,53778.236,Import,
2025-06,Textile Group,SYNTHETIC ARTIFICIAL SILK YARN,  MT,25067.785447,13057.686435,46140.0,29891.622,13927.117595,50018.62,Import,
2025-06,Textile Group,WORN CLOTHING,  MT,87849.8591244999,11400.614578,40285.0,92594.613,11162.245921,40088.691,Import,
2025-06,Textile Group,OTHR TEXTILE ITEMS, - ,0.0,28214.62711,99698.0,0.0,21585.463586,77523.319,Import,
2025-06,Agricultural And Other Chemicals Group,FERTILIZER MANUFACTURED, MT,138357.8985,26499.399293,93637.0,51134.0,4821.049753,17314.582,Import,
2025-06,Agricultural And Other Chemicals Group,INSECTICIDES, MT,1861.5975,3235.45245,11433.0,2378.17,3858.104411,13856.212,Import,
2025-06,Agricultural And Other Chemicals Group,PLASTIC MATERIALS, MT,121054.61769920004,42529.896385,150282.0,153913.769,52904.064797,190002.533,Import,
2025-06,Agricultural And Other Chemicals Group,MEDICINAL PRODUCTS, MT,4384.098941199999,24964.091292,88212.0,2647.016,23216.306111,83380.348,Import,
2025-06,Agricultural And Other Chemicals Group,OTHERS, - ,0.0,93876.769893,331720.0,0.0,101873.318536,365873.369,Import,
2025-06,Metal Group,GOLD,KG,0.0,0.0,0.0,0.0,0.0,0.0,Import,
2025-06,Metal Group,IRON AND STEEL SCRAP, MT,188417.3554163,25102.920138,88703.0,218991.0,27397.529405,98396.979,Import,
2025-06,Metal Group,IRON AND STEEL, MT,178520.1270973,38642.137586,136545.0,263512.0,48701.352424,174908.682,Import,
2025-06,Metal Group,ALUMINIUM WROUGHT WORKED, - ,0.0,4473.98139,15809.0,0.0,4373.885794,15708.603,Import,
2025-06,Metal Group,ALL OTHER METALS ARTICALS, - ,0.0,23836.829392,84229.0,0.0,23744.566805,85277.462,Import,
2025-06,Miscellaneous Group,RUBBER CRUDE INCL SYNTHRECLAIMED, MT,27377.77202,3703.758449,13087.0,35228.525,6301.454006,22631.379,Import,
2025-06,Miscellaneous Group,RUBBER TYRES TUBES, NO,414789.0,2662.315604,9407.0,373791.0,2741.763381,9846.886,Import,
2025-06,Miscellaneous Group,WOOD CORK, - ,0.0,2574.000165,9095.0,0.0,2278.627432,8183.588,Import,
2025-06,Miscellaneous Group,JUTE, MT,105.0,25.928402,92.0,2472.0,469.307385,1685.497,Import,
2025-06,Miscellaneous Group,PAPER PAPER BOARD MANUFTHEREOF, MT,36502.47732480001,9074.86928,32067.0,40426.139,10104.797464,36290.937,Import,
Month,Group,COMMODITY,Unit,0.0,0.0,0.0,0.0,0.0,0.0,Import,
2025-07,Food Group,MILKCREAM MILK FOOD FOR INFANTS,  MT,6553.51884,4275.961495,15022.99205290031,0.0,92460.507379,331590.60582000006,Import,
2025-07,Food Group,WHEAT UNMILLED,  MT,0.0,20618.316049,73951.53563000009,0.0,20618.316049,73951.53563000009,Import,
2025-07,Food Group,DRY FRUITS NUTS,  MT,7978.999928999999,2361.137647,8294.53829250078,0.0,6.213293,22.27972,Import,
2025-07,Food Group,TEA,  MT,19030.28754,11955.321462,41993.68528749191,0.0,0.0,0.0,Import,
2025-07,Food Group,SPICES,  MT,19565.430875,6773.999599,23796.124376378462,0.0,136540.696698,489777.1169700002,Import,
2025-07,Food Group,SOYABEAN OIL,  MT,29150.16,9062.273517,31839.76671164609,70565.28860000003,41613.904795,149267.68681,Import,
2025-07,Food Group,PALM OIL,  MT,286835.502,86012.920381,302148.776278658,41979.5978181,16082.872466,57689.35304999998,Import,
2025-07,Food Group,SUGAR,  MT,395.001,110.338908,388.0030654224564,41457.3820335,21519.553833,77196.17855000004,Import,
2025-07,Food Group,PULSES LEGUMINOUS VEGETABLES,  MT,110097.912,21009.8326,73836.52709288521,84676.4836497,10675.059358,38284.8324700001,Import,
2025-07,Food Group,ALL OTHERS FOOD ITEMS,   - ,0.0,70167.69963,246558.98791760625,0.0,46649.306246,167339.0660900001,Import,
2025-07,Machinery Group,POWER GENERATING MACHINERY,   - ,83560.9551995,16195.287361,56875.61940226053,83560.9551995,13158.268224,47190.17329,Import,
2025-07,Machinery Group,OFFICE MACHINE INCLDATA PROC EQUIP,   - ,2396.994352,17851.758542,62742.50737052197,2396.994352,3223.897247,11563.62764,Import,
2025-07,Machinery Group,TEXTILE MACHINERY,   - ,164234.3440475,19089.23283,67106.95722764207,164234.3440475,57769.944526,207237.55821,Import,
2025-07,Machinery Group,CONSTRUCTION MINING MACHINERY,   - ,2964.9872805000014,3128.413717,10990.370926487183,2964.9872805000014,22811.810983,81824.96648000002,Import,
2025-07,Machinery Group,ELECTRICAL MACHINERY APPARATUS,   - ,0.0,83232.418127,292371.0131676572,0.0,131094.715619,470214.29002,Import,
2025-07,Machinery Group,TELE COM,   - ,0.0,54657.877829000005,191999.40010275703,0.0,0.0,0.0,Import,
2025-07,Machinery Group,A MOBILE PHONE,   - ,0.0,41384.864606,145344.90833594085,0.0,127397.06963800002,456977.6359100001,Import,
2025-07,Machinery Group,B OTHER APPARATUS,   - ,27.8496,13273.013223,46654.491766816216,27.8496,611.337671,2193.17012,Import,
2025-07,Machinery Group,AGRICULTURAL MACHINERY IMPLEMENTS,   - ,273993.5971239,4100.877515,14410.687113047888,273993.5971239,45328.484637,162588.00695000016,Import,
2025-07,Machinery Group,OTHER MACHINERY,   - ,258419.0836665,65771.751978,231037.58807058207,258419.0836665,48460.498067,173844.19749,Import,
2025-07,Transport Group,ROAD MOTOR VEH BUILD UNITCKDSKD,   - ,0.0,77290.800967,271395.0686795822,0.0,0.0,0.0,Import,
2025-07,Transport Group,CBU,   - ,0.0,11998.142244,42168.22590579361,0.0,25596.410805,91814.90528,Import,
2025-07,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,47150.022434,2602.329753,9152.30184111463,47150.022434,7432.180021,26659.848289999994,Import,
2025-07,Transport Group,BMOTOR CARS,   - ,725335.0,9335.404687,32803.41604660575,725335.0,4371.893273,15681.287910000008,Import,
2025-07,Transport Group,CMOTOR CYCLES,   - ,0.0,60.407804,212.50801807322492,0.0,2566.505727,9205.485780000005,Import,
2025-07,Transport Group,CKDSKD,   - ,2196.7791,54096.270799000005,189899.5384593573,2196.7791,403.694903,1448.1985100000002,Import,
2025-07,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,38214.4258506,14471.440431,50780.5381874357,38214.4258506,10822.136881,38820.08479,Import,
2025-07,Transport Group,BMOTOR CARS,   - ,0.0,38227.66171,134211.2345820426,0.0,0.0,0.0,Import,
2025-07,Transport Group,CMOTOR CYCLES,   - ,0.0,1397.168658,4907.765689879023,0.0,0.0,0.0,Import,
2025-07,Transport Group,PARTS ACCESSORIES,   - ,0.0,9421.370169,33095.500095003415,0.0,0.0,0.0,Import,
2025-07,Transport Group,OTHERS,   - ,0.0,1775.017755,6231.804219427876,0.0,0.0,0.0,Import,
2025-07,Transport Group,AIRCRAFTS SHIPS AND BOATS,   - ,0.0,3277.399017,11533.810420970374,0.0,0.0,0.0,Import,
2025-07,Transport Group,OTHERS TRANSPORT EQUIPMENTS,   - ,0.0,6890.212032,24162.51162362945,0.0,0.0,0.0,Import,
2025-07,Petroleum Group,PETROLEUM PRODUCTS,  MT,1233707.4090267,180489.387548,634771.237150071,0.0,0.0,0.0,Import,
2025-07,Petroleum Group,PETROLEUM CRUDE,  MT,758383.5343103448,113168.525936,398317.6921215907,0.0,0.0,0.0,Import,
2025-07,Petroleum Group,NATURAL GAS LIQUIFIED,   - ,0.0,65727.79325,230804.96319189292,0.0,0.0,0.0,Import,
2025-07,Petroleum Group,PETROLEUM GAS LIQUIFIED,   - ,0.0,23320.973494,81897.44815487614,0.0,0.0,0.0,Import,
2025-07,Petroleum Group,OTHERS,   - ,0.0,1.539485,5.395198312222536,0.0,0.0,0.0,Import,
2025-07,Textile Group,RAW COTTON,  MT,80519.022845,40735.449567,143105.07805668883,0.0,0.0,0.0,Import,
2025-07,Textile Group,SYNTHETIC FIBRE,  MT,53844.030925,21442.855392,75359.46904491769,0.0,0.0,0.0,Import,
